"Time","TTI 0.95"
2024-04-24 05:54:00,146 ms
2024-04-24 05:56:00,145 ms
2024-04-24 05:58:00,146 ms
2024-04-24 06:00:00,146 ms
2024-04-24 06:02:00,146 ms
2024-04-24 06:04:00,146 ms
2024-04-24 06:06:00,147 ms
2024-04-24 06:08:00,147 ms
2024-04-24 06:10:00,147 ms
2024-04-24 06:12:00,147 ms
2024-04-24 06:14:00,148 ms
2024-04-24 06:16:00,148 ms
2024-04-24 06:18:00,148 ms
2024-04-24 06:20:00,148 ms
2024-04-24 06:22:00,148 ms
2024-04-24 06:24:00,147 ms
2024-04-24 06:26:00,147 ms
2024-04-24 06:28:00,147 ms
2024-04-24 06:30:00,147 ms
2024-04-24 06:32:00,146 ms
2024-04-24 06:34:00,146 ms
2024-04-24 06:36:00,146 ms
2024-04-24 06:38:00,146 ms
2024-04-24 06:40:00,146 ms
2024-04-24 06:42:00,146 ms
2024-04-24 06:44:00,146 ms
2024-04-24 06:46:00,145 ms
2024-04-24 06:48:00,146 ms
2024-04-24 06:50:00,146 ms
2024-04-24 06:52:00,146 ms
2024-04-24 06:54:00,146 ms
2024-04-24 06:56:00,146 ms
2024-04-24 06:58:00,146 ms
2024-04-24 07:00:00,147 ms
2024-04-24 07:02:00,146 ms
2024-04-24 07:04:00,146 ms
2024-04-24 07:06:00,146 ms
2024-04-24 07:08:00,145 ms
2024-04-24 07:10:00,145 ms
2024-04-24 07:12:00,146 ms
2024-04-24 07:14:00,146 ms
2024-04-24 07:16:00,146 ms
2024-04-24 07:18:00,146 ms
2024-04-24 07:20:00,146 ms
2024-04-24 07:22:00,146 ms
2024-04-24 07:24:00,146 ms
2024-04-24 07:26:00,146 ms
2024-04-24 07:28:00,146 ms
2024-04-24 07:30:00,146 ms
2024-04-24 07:32:00,146 ms
2024-04-24 07:34:00,147 ms
2024-04-24 07:36:00,147 ms
2024-04-24 07:38:00,147 ms
2024-04-24 07:40:00,147 ms
2024-04-24 07:42:00,146 ms
2024-04-24 07:44:00,146 ms
2024-04-24 07:46:00,146 ms
2024-04-24 07:48:00,146 ms
2024-04-24 07:50:00,145 ms
2024-04-24 07:52:00,145 ms
2024-04-24 07:54:00,145 ms
2024-04-24 07:56:00,145 ms
2024-04-24 07:58:00,145 ms
2024-04-24 08:00:00,145 ms
2024-04-24 08:02:00,145 ms
